PATH,METHODS
/addons/,GET
/addons/{id}/,GET
/addons/{id}/install/,POST
/addons/{id}/uninstall/,POST
/auth/account/,"GET, PUT, PATCH"
/auth/account/customers/,"GET, POST"
/auth/account/customers/{id}/,"GET, PUT, PATCH, DELETE"
/auth/account/users/,"GET, POST"
/auth/account/users/{id}/,"GET, PUT, PATCH, DELETE"
/auth/account/v2/users/,"GET, POST"
/auth/account/v2/users/{id}/,"GET, PUT, PATCH, DELETE"
/auth/account/v2/users/{user_pk}/permissions/,"GET, POST"
/auth/account/v2/users/{user_pk}/permissions/{id}/,"GET, PUT, PATCH, DELETE"
/auth/account/v3/users/,"GET, POST"
/auth/account/v3/users/groups/,GET
/auth/account/v3/users/{id}/,"GET, PUT, PATCH, DELETE"
/auth/account/v3/users/{user_pk}/permissions/,"GET, POST"
/auth/account/v3/users/{user_pk}/permissions/{id}/,"GET, PUT, PATCH, DELETE"
/auth/api_tokens/,"GET, POST"
/auth/api_tokens/{id}/,DELETE
/auth/featureflags/,GET
/auth/login/,POST
/auth/logout/,"GET, POST"
/auth/mfa/totp-devices/,GET
/auth/mfa/totp-devices/onboard/start/,POST
/auth/mfa/totp-devices/{id}/disable/,POST
/auth/mfa/totp-devices/{id}/onboard/confirm/,POST
/auth/mfa/totp-devices/{id}/recovery_codes/regenerate/,POST
/auth/mfa/verify/,POST
/auth/password/change/,POST
/auth/password/reset/,POST
/auth/password/reset/confirm/,POST
/auth/register/,POST
/auth/register/verify-email/,POST
/auth/resend-confirm-email/,POST
/auth/user/,"GET, PUT, PATCH"
/automation/fields,GET
/automation/tags,GET
/automation/triggers/,"GET, POST"
/automation/triggers/{id}/,"GET, PUT, PATCH, DELETE"
/automation/triggers/{id}/test/,POST
/batch/,POST
/billing/settlements/,GET
/billing/subscriptions/active_summary/,GET
/can_logging/channels/,"GET, POST"
/can_logging/channels/meta/,GET
/can_logging/channels/{id}/,"GET, PUT, PATCH, DELETE"
/can_logging/channels/{id}/reset/,POST
/can_logging/dbc/collections/,GET
/can_logging/decoders/,"GET, POST"
/can_logging/decoders/message_definitions/,GET
/can_logging/decoders/meta/,GET
/can_logging/decoders/{id}/,"GET, PUT, PATCH, DELETE"
/can_logging/decoders/{uuid}/message_definition_library/,GET
/can_logging/event_reactors/,"GET, POST"
/can_logging/event_reactors/event_tags/,GET
/can_logging/event_reactors/meta/,GET
/can_logging/event_reactors/{id}/,"GET, PUT, PATCH, DELETE"
/can_logging/frame_listeners/,"GET, POST"
/can_logging/frame_listeners/meta/,GET
/can_logging/frame_listeners/{id}/,"GET, PUT, PATCH, DELETE"
/can_logging/import/dbc/,POST
/can_logging/loggers/,"GET, POST"
/can_logging/loggers/meta/,GET
/can_logging/loggers/{id}/,"GET, PUT, PATCH, DELETE"
/can_logging/output_handlers/,"GET, POST"
/can_logging/output_handlers/meta/,GET
/can_logging/output_handlers/{id}/,"GET, PUT, PATCH, DELETE"
/can_logging/pgns/,GET
/can_logging/pgns/{id}/,GET
/can_logging/pids/,GET
/can_logging/pids/{id}/,GET
/can_logging/queries/,"GET, POST"
/can_logging/queries/meta/,GET
/can_logging/queries/{id}/,"GET, PUT, PATCH, DELETE"
/can_logging/query_collections/,"GET, POST"
/can_logging/workflow_hooks/,"GET, POST"
/can_logging/workflow_hooks/create-default/,POST
/can_logging/workflow_hooks/meta/,GET
/can_logging/workflow_hooks/{id}/,"GET, PUT, PATCH, DELETE"
/dashboard/customer_layout/,"GET, POST"
/dashboard/customer_layout/fetch_related/,GET
/dashboard/customer_layout/{id}/,"GET, PUT, PATCH, DELETE"
/dashboard/customer_layout/{id}/copy_to_user/,POST
/dashboard/customer_layout/{id}/duplicate/,POST
/dashboard/layout/,"GET, POST"
/dashboard/layout/{id}/,"GET, PUT, PATCH, DELETE"
/dashboard/layout/{id}/duplicate/,POST
/dashboard/map_overlays/,GET
/dashboard/map_overlays/{id}/,GET
/dashboard/map_overlays/{id}/download/{field_name}/,GET
/docker/projects/,"GET, POST"
/docker/projects/{id}/,"GET, PUT, PATCH, DELETE"
/docker/projects/{project_pk}/releases/,"GET, POST"
/docker/projects/{project_pk}/releases/active/,GET
/docker/projects/{project_pk}/releases/{id}/,"GET, PUT, PATCH"
/docker/projects/{project_pk}/releases/{release_pk}/deployments/,GET
/docker/registries/,"GET, POST"
/docker/registries/{id}/,"GET, PUT, PATCH, DELETE"
/dongle/alerts/,GET
/dongle/alerts/choices/,GET
/dongle/alerts/clear/,POST
/dongle/alerts/dismiss/,POST
/dongle/alerts/{id}/,DELETE
/dongle/alerts/{id}/dismiss/,POST
/dongle/devices/,GET
/dongle/devices/batch_cancel_scheduled_update/,POST
/dongle/devices/batch_schedule_update/,POST
/dongle/devices/by_eth_address/{eth_address}/,GET
/dongle/devices/by_unit_id/{unit_id}/,GET
/dongle/devices/devices_lean/,GET
/dongle/devices/devices_lean_paged/,GET
/dongle/devices/hw_board_versions/,GET
/dongle/devices/lookup/,POST
/dongle/devices/move_devices/,POST
/dongle/devices/release_versions/,GET
/dongle/devices/{device_pk}/accesstokens/,"GET, POST"
/dongle/devices/{device_pk}/accesstokens/{id}/,GET
/dongle/devices/{device_pk}/accesstokens/{id}/decrypt/,POST
/dongle/devices/{device_pk}/alerts/,GET
/dongle/devices/{device_pk}/alerts/choices/,GET
/dongle/devices/{device_pk}/alerts/dismiss/,POST
/dongle/devices/{device_pk}/alerts/resolve/,POST
/dongle/devices/{device_pk}/alerts/summary/,GET
/dongle/devices/{device_pk}/alerts/{id}/dismiss/,POST
/dongle/devices/{device_pk}/alerts/{id}/resolve/,POST
/dongle/devices/{device_pk}/can_logging/channels/,GET
/dongle/devices/{device_pk}/environment_variables/,"GET, POST"
/dongle/devices/{device_pk}/environment_variables/merged/,GET
/dongle/devices/{device_pk}/environment_variables/{id}/,"GET, PUT, PATCH, DELETE"
/dongle/devices/{device_pk}/environment_variables/{id}/override/,POST
/dongle/devices/{device_pk}/pending_syncs/,GET
/dongle/devices/{device_pk}/pending_syncs/{id}/,DELETE
/dongle/devices/{id}/,"GET, PUT, PATCH"
/dongle/devices/{id}/accept_key/,POST
/dongle/devices/{id}/callback/{jid}/,GET
/dongle/devices/{id}/cancel_scheduled_update/,POST
/dongle/devices/{id}/command_result/{jid}/,GET
/dongle/devices/{id}/data_usage/,GET
/dongle/devices/{id}/delete_denied_key/,POST
/dongle/devices/{id}/execute/,POST
/dongle/devices/{id}/execute_raw/,POST
/dongle/devices/{id}/explicit_permissions/,GET
/dongle/devices/{id}/factory_reset/,POST
/dongle/devices/{id}/regenerate_token/,POST
/dongle/devices/{id}/schedule_update/,POST
/dongle/devices/{id}/wake/,POST
/dongle/engines/,"GET, POST"
/dongle/engines/by_name/{name}/,"GET, PUT, PATCH"
/dongle/engines/meta/,GET
/dongle/engines/{id}/,"GET, PUT, PATCH, DELETE"
/dongle/engines/{id}/render_settings_preview/,GET
/dongle/environment_variables/,"GET, POST"
/dongle/environment_variables/{id}/,"GET, PUT, PATCH, DELETE"
/dongle/export/export_csv/,GET
/dongle/geofences/,"GET, POST"
/dongle/geofences/get_all_geofences/,GET
/dongle/geofences/templated/,GET
/dongle/geofences/{id}/,"GET, PUT, PATCH, DELETE"
/dongle/hooks/,"GET, POST"
/dongle/hooks/{id}/,"GET, PUT, PATCH, DELETE"
/dongle/jobs/,"GET, POST"
/dongle/jobs/{id}/,"GET, PUT, PATCH, DELETE"
/dongle/mini/geofences/,"GET, POST"
/dongle/mini/geofences/{id}/,"GET, PUT, PATCH, DELETE"
/dongle/modules/,"GET, POST"
/dongle/modules/{id}/,"GET, PUT, PATCH, DELETE"
/dongle/pending_syncs/,GET
/dongle/pending_syncs/{id}/,DELETE
/dongle/reactors/,"GET, POST"
/dongle/reactors/{id}/,"GET, PUT, PATCH, DELETE"
/dongle/settings/,"GET, POST"
/dongle/settings/schema/,GET
/dongle/state_runs/,GET
/dongle/sync_results/,GET
/dongle/tags/,GET
/dongle/templates/,"GET, POST"
/dongle/templates/{id}/,"GET, PUT, PATCH, DELETE"
/dongle/templates/{id}/apply/,POST
/dongle/templates/{id}/apply_async/,POST
/dongle/templates/{id}/apply_explicit/,POST
/dongle/templates/{id}/apply_explicit_async/,POST
/dongle/templates/{id}/duplicate/,POST
/dongle/templates/{id}/unassociate_devices/,POST
